"coef 1,""0.29x = 3,576"""
"coef 1,""-1,279x = -146"""
"coef 1,""-1,279x/-1,279 = -146/-1,279"""
"coef 1,""-1,279x+99 = -47"""
"coef 1,""-1,279x+99-99 = -47-99"""
"coef 1,""-1,320x+99+41x = -47"""
"coef 1,""1,500.95-986.33x = 9,240.47+106.18x"""
"coef 1,""1,500.95-986.33x-9,240.47 = 106.18x"""
"coef 1,""1,500.95-986.33x-9,240.47 = 9,240.47+106.18x-9,240.47"""
"coef 1,""-1,505y-1,120-33y = -9"""
"coef 1,""-1,538y = 1,111"""
"coef 1,""-1,538y/-1,538 = 1,111/-1,538"""
"coef 1,""-1,538y-1,120 = -9"""
"coef 1,""-1,538y-1,120+1,120 = -9+1,120"""
"coef 1,""1,612 = -424y"""
"coef 1,""1,612/-424 = -424y/-424"""
"coef 1,""-1,659 = -1,587x"""
"coef 1,""-1,659/-1,587 = -1,587x/-1,587"""
"coef 1,""1,780x = 1,780"""
"coef 1,""1,780x/1,780 = 1,780/1,780"""
"coef 1,""-14 = -1,587x+1,645"""
"coef 1,""14 = -424y-1,598"""
"coef 1,""14 = -470y-1,598+46y"""
"coef 1,""14+1,598 = -424y-1,598+1,598"""
"coef 1,""-14-1,645 = -1,587x+1,645-1,645"""
"coef 1,""-2 = -2,289x-658"""
"coef 1,""-2 = -2,303x-658+14x"""
"coef 1,""-2,013y = 1,309"""
"coef 1,""-2,013y/-2,013 = 1,309/-2,013"""
"coef 1,""-2,013y-1,260 = 49"""
"coef 1,""-2,013y-1,260+1,260 = 49+1,260"""
"coef 1,""-2,016y-1,260+3y = 49"""
"coef 1,""-2,064y+1,296-35y = 42"""
"coef 1,""-2,064y+1,296-35y-1,296 = 42-1,296"""
"coef 1,""-2,064y-35y = -1,254"""
"coef 1,""-2,099y = -1,254"""
"coef 1,""-2,099y/-2,099 = -1,254/-2,099"""
"coef 1,""2,456(C+23) = 368,400"""
"coef 1,""2,456(C+23) = 85,960"""
"coef 1,""2,456C = 29,472"""
"coef 1,""2,456C = 311,912"""
"coef 1,""2,456C+56,488 = 368,400"""
"coef 1,""2,456C+56,488 = 85,960"""
"coef 1,""-2+658 = -2,289x-658+658"""
"coef 1,""-210-5M = -1,470"""
"coef 1,""-210-5P = -1,470"""
"coef 1,""-3,576+0.29x = 0"""
"coef 1,""-3,576+575.87x = 575.58x"""
"coef 1,""4,738.13+575.87x = 8,314.13+575.58x"""
"coef 1,""-45 = 1,495x-102"""
"coef 1,""-45+102 = 1,495x-102+102"""
"coef 1,""-513.56y-14,602.43 = -429.93y"""
"coef 1,""-513.56y-6,226.64 = 8,375.79-429.93y"""
"coef 1,""57 = 1,495x"""
"coef 1,""57/1,495 = 1,495x/1,495"""
"coef 1,""-5P = -1,260"""
"coef 1,""656 = -2,289x"""
"coef 1,""656/-2,289 = -2,289x/-2,289"""
"coef 1,""7,024+1,780x-7,024 = 1,780"""
"coef 1,""802y = -1,382"""
"coef 1,""802y = -32-1,350"""
"coef 1,""802y/802 = -1,382/802"""
"coef 1,""-83.63y = 14,602.43"""
"coef 1,""-83.63y-14,602.43 = 0"""
"coef 1,""836y+1,292+8y = -32"""
"coef 1,""844y = -1,324"""
"coef 1,""844y/844 = -1,324/844"""
"coef 1,""844y+1,292 = -32"""
"coef 1,""844y+1,292-1,292 = -32-1,292"""
"coef 1,""-986.33x-7,739.52 = 106.18x"""
"coef 1,""-986.33x-7,739.52-106.18x = 0"""
"coef 1,""-986.33x-7,739.52-106.18x = 106.18x-106.18x"""
"coef 1,""-P = -3,500"""
"coef 1,""-P = -6,000"""
coef 1,(-(-13y+1)/13)/(-1/13) = (1/13)/(-1/13)
coef 1,((2y-3)/2)/2 = ((10/2)/2)/2
coef 1,((2y-3)/2)/2 = (5/2)/2
coef 1,(-(-5y)/5-7/5)*5 = 6/5*5
coef 1,(-(-5y)-7)/5 = 6/5
coef 1,(-(-5y)-7)/5 = -6/-5
coef 1,(-(-5y)-7)/5*5 = 6/5*5
coef 1,(-(-5y)-7)/5*5 = -6/-5*5
coef 1,((7r+y)/7)/(1/7) = (b/7)/(1/7)
coef 1,((m*h+56)/m)/(1/m) = (q/m)/(1/m)
coef 1,((s*v+r)/s)/(1/s) = (y/s)/(1/s)
coef 1,((y-3)-m*-7)/m = m*x/m
coef 1,((y-3)-m*-7)/m = m*x/m
coef 1,((y-3)-m*-7)/m = m*x/m
coef 1,((y-3)-m*-7)/m = m*x/m
coef 1,((y-3)-m*-7)/m = m*x/m
coef 1,((y-3)-m*-7)/m = m*x/m
coef 1,((y-3)-m*-7)/m = m*x/m
coef 1,(0.03*175+1.19)*T+325 = 2500
coef 1,(0.1x+7.3)/0.1 = 2.5/0.1
coef 1,(0.1x+7.3)/0.1 = 25
coef 1,(0.55+(-7.48))/1.02 = 1.02x/1.02
coef 1,(0+1)*-1 = y
coef 1,(0+8)*5 = x
coef 1,(0+y/10)*10 = 6*10
coef 1,(0+y/10)*10 = 60
coef 1,(0-15)*-18 = x
coef 1,(0-9)*-6 = y
coef 1,(-1.6-7.5)/-13.6 = -13.6y/-13.6
coef 1,(-1.6-7.5)/-13.6 = y
coef 1,(-1/100*X)+60 = 0
coef 1,(-1/100*X)+60 = 25
coef 1,(-1/2)((32*1)^2)+(48*1)+0 = p
coef 1,(-1/2)(32*0.25)+(20*0.25)+3+0 = p
coef 1,(-1/2)(32*0.25^2)+(20*0.25)+3+0 = p
coef 1,(-1/2)(32*0.3)+(20*0.3)+3+0 = p
coef 1,(-1/2)(32*0.3^2)+(20*0.3)+3 = p
coef 1,(-1/2)(32*0.3^2)+(20*0.3)+3+0 = p
coef 1,(-1/2)(32*1^2)+(48*1)+0 = p
coef 1,(-1/2)(32*1^2)+(60*1)+6 = d
coef 1,(-1/2)(32*1^2)+(64*1)+0 = p
coef 1,(-1/2)(32*1^2)+(80*1)+0 = p
coef 1,(-1/2)(32*10^2)+(2000*10)+0 = p
coef 1,(-1/2)(32*2.25^2)+(48*2.25)+0 = p
coef 1,(-1/2)(32*3.5^2)+(64*3.5)+0 = p
coef 1,(-1/2)(32*3^2)+(60*3)+6 = d
coef 1,(-1/2)(32*4.5^2)+(80*4.5)+0 = p
coef 1,(-1/2)(32*5^2)+(320*5)+0 = d
coef 1,(-1/2)(32*7^2)+(320*7)+0 = d
coef 1,(-1/2)(32*75^2)+(2000*75)+0 = p
coef 1,(-1/2)(32.9^2)+(20*9)+3 = p
coef 1,(-1/2)(320.25^2)+(20*0.25)+3+0 = p
coef 1,(-1/2)*32*0.25^2+(20*0.25)+3 = p
coef 1,-(1/2)*32s*s+1000s+50 = 0
coef 1,-(1/2)*32s*s+1000s+50 = 10050
coef 1,-(1/2)*32s*s+1000s+50 = 2000
coef 1,-(1/2)*32s*s+1000s+50 = 50
coef 1,-(1/2)*32s*s+20s+3 = 9
coef 1,-(1/2)*32s*s+320s+0 = 1000
coef 1,-(1/2)*32s*s+60s+6 = 0
coef 1,-(1/2)*32s*s+60s+6 = 56
coef 1,-(1/2)*32s*s+60s+6 = 6
coef 1,-(1/2)*32s*s+64s+0 = 60
coef 1,-(1/2)*32s*s+80s+0 = 96
